,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
378,深圳市易仓科技有限公司,易仓,150-500人,A轮,南山区,高级php开发工程师,5-10年,本科,16k-25k,五险一金 发展空间大,"移动互联网,电商",开发|测试|运维类,"节日礼物,带薪年假,年度旅游,岗位晋升",后端开发,深圳
379,深圳市东方蜘蛛网络科技有限公司,东方蜘蛛,15-50人,未融资,南山区,PHP高级开发工程师,1-3年,大专,8k-16k,双休，较少加班,"移动互联网,社交",开发|测试|运维类,"年底双薪,股票期权,带薪年假,岗位晋升",后端开发,深圳
380,武汉鼎森电子科技有限公司,博看网,150-500人,不需要融资,江汉区,初中高级PHP开发,3-5年,大专,10k-20k,13薪，加班少，公司实力强,"移动互联网,文娱丨内容",开发|测试|运维类,"技能培训,节日礼物,专项奖金,绩效奖金",后端开发,武汉
381,杭州九艾网络科技有限公司,九艾科技,少于15人,未融资,西湖区,php开发工程师,3-5年,大专,9k-13k,五险一金，团建旅游,移动互联网,开发|测试|运维类,,后端开发,杭州
382,北京微钓科技有限公司,微钓科技,15-50人,不需要融资,海淀区,php开发工程师,3-5年,本科,10k-20k,发展前景好,"移动互联网,电商",开发|测试|运维类,"年底双薪,股票期权,带薪年假,午餐补助",后端开发,北京
383,深圳市前海巨果教育科技有限公司,巨果教育科技,50-150人,不需要融资,宝安区,php开发工程师,在校/应届,本科,10k-20k,"高收入,高底薪,前景好,培训机会多","电商,教育",开发|测试|运维类,"绩效奖金,领导好,扁平管理",后端开发,深圳
384,北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,资深PHP开发工程师,3-5年,本科,18k-35k,五险一金，上市公司,教育,开发|测试|运维类,"上市公司,领军企业,五险一金,住福计划",后端开发,北京
385,前锦网络信息技术（上海）有限公司,51JOB,2000人以上,上市公司,浦东新区,资深php开发工程师,3-5年,本科,15k-20k,公司平台大，晋升机制透明，员工福利完善,"移动互联网,企业服务",开发|测试|运维类,,后端开发,上海
386,云南稻熊科技有限公司,稻熊科技,15-50人,未融资,西山区,php工程师,1-3年,不限,6k-12k,绩效奖金，带薪节假日，项目分红,电商,开发|测试|运维类,,后端开发,昆明
387,广州优路加信息科技有限公司,优路加,150-500人,未融资,天河区,php开发工程师,1-3年,本科,7k-10k,六险一金，年底双薪，周末双休，员工旅游,移动互联网,开发|测试|运维类,"年底双薪,专项奖金,带薪年假,岗位晋升",后端开发,广州
388,上海时代天使医疗器械有限公司,EA时代天使,500-2000人,B轮,杨浦区,php开发工程师,3-5年,本科,20k-30k,工作弹性，待遇优厚，发展空间大,"电商,医疗丨健康",开发|测试|运维类,"节日礼物,年底双薪,带薪年假,绩效奖金",后端开发,上海
389,北京万维之道信息技术有限公司,有书,150-500人,A轮,朝阳区,php开发工程师,3-5年,本科,18k-25k,高薪 火热行业,"移动互联网,文娱丨内容",开发|测试|运维类,"带薪年假,绩效奖金,午餐补助,公司氛围好",后端开发,北京
390,厦门美柚股份有限公司,美柚,500-2000人,D轮及以上,思明区,php开发工程师,3-5年,本科,10k-20k,绩效奖金、免费班车,移动互联网,开发|测试|运维类,"绩效奖金,股票期权,年底双薪,专项奖金",后端开发,厦门
391,广州市本该信息技术有限责任公司,芝麻加油,50-150人,A轮,海珠区,PHP开发工程师,3-5年,本科,14k-18k,季度奖金、弹性工作制、技能提升,"移动互联网,消费生活",开发|测试|运维类,"发展空间大,扁平管理,领导好,尊重技术",后端开发,广州
392,北京迦游网络科技有限公司,迦游网络,150-500人,不需要融资,朝阳区,php工程师,1-3年,本科,10k-15k,租房补助，免费晚餐，五险一金，弹性时间,"移动互联网,游戏",开发|测试|运维类,"绩效奖金,技能培训,年度旅游,五险一金",后端开发,北京
393,广东快乐种子科技有限公司,快乐种子,2000人以上,B轮,徐汇区,高级PHP开发工程师,5-10年,大专,18k-30k,公司稳定 交通便利 强度一般,"教育,游戏",开发|测试|运维类,"专项奖金,股票期权,绩效奖金,带薪年假",后端开发,上海
394,摩森特（北京）科技有限公司,摩森特,15-50人,不需要融资,海淀区,PHP开发工程师,1-3年,本科,10k-15k,五险一金、领导好,"移动互联网,电商",开发|测试|运维类,"带薪年假,绩效奖金,岗位晋升,美女多",后端开发,北京
395,广东快乐种子科技有限公司,快乐种子,2000人以上,B轮,徐汇区,PHP开发工程师,3-5年,大专,13k-20k,发展空间大,"教育,游戏",开发|测试|运维类,"专项奖金,股票期权,绩效奖金,带薪年假",后端开发,上海
396,杭州象文科技有限公司,象文科技,50-150人,A轮,西湖区,php后端,1-3年,不限,8k-16k,"双休,五险一金,国内外旅游",移动互联网,开发|测试|运维类,"股票期权,专项奖金,带薪年假,年度旅游",后端开发,杭州
397,广州爆米科技有限公司,爆米科技,50-150人,未融资,白云区,php开发工程师,3-5年,本科,10k-18k,五险一金 绩效奖金,电商,开发|测试|运维类,,后端开发,广州
398,全美在线（北京）教育科技股份有限公司,ATA,500-2000人,上市公司,朝阳区,php开发工程师,3-5年,本科,15k-20k,成长快，团队氛围好，办公环境高大上，交通方便,"教育,移动互联网",开发|测试|运维类,"定期体检,午餐补助,带薪年假,六险一金",后端开发,北京
399,武汉多游科技有限公司,多游科技,50-150人,不需要融资,武昌区,PHP工程师,不限,不限,9k-14k,"包食宿,发展空间大,五险一金,年轻化",移动互联网,开发|测试|运维类,"定期体检,带薪年假,股票期权,交通补助",后端开发,武汉
400,深圳市盛达瑞智能科技有限公司,深圳市盛达瑞智能科技有限公司,150-500人,不需要融资,南山区,php开发工程师,3-5年,本科,10k-20k,周末双休 氛围良好 带薪休假,"移动互联网,区块链",开发|测试|运维类,"绩效奖金,带薪年假,五险一金,年终奖金",后端开发,深圳
401,青岛质点数字科技有限公司,质点数字,15-50人,未融资,黄岛区,php开发工程师,1-3年,大专,8k-15k,公司提供明确职业规划、带薪年假、团建旅行,企业服务 移动互联网,开发|测试|运维类,,后端开发,青岛
402,百映（北京）数字科技有限公司,百映科技,150-500人,不需要融资,朝阳区,php开发工程师,3-5年,本科,15k-22k,nice的同事让你工作倍感轻松,软件开发,开发|测试|运维类,,后端开发,北京
403,云汉芯城（上海）互联网科技股份有限公司,云汉芯城,500-2000人,C轮,龙华新区,php开发工程师,3-5年,本科,18k-30k,技术氛围 晋升空间 五险一金,电商,开发|测试|运维类,"节日礼物,岗位晋升,技能培训,领导好",后端开发,深圳
404,云汉芯城（上海）互联网科技股份有限公司,云汉芯城,500-2000人,C轮,松江区,高级php开发工程师,3-5年,本科,18k-30k,技术氛围 晋升空间 周末双休 绩效奖金,电商,开发|测试|运维类,"节日礼物,岗位晋升,技能培训,领导好",后端开发,上海
405,广东乐从钢铁世界有限公司,钢铁世界,150-500人,不需要融资,顺德区,PHP工程师,1-3年,大专,10k-15k,"社保齐全,年度体检,员工旅游,绩效奖励","电商,其他",开发|测试|运维类,"节日礼物,技能培训,管理规范,定期体检",后端开发,佛山
406,CHOPE GROUP LIMITED,Chope,150-500人,D轮及以上,海淀区,PHP开发工程师,3-5年,本科,10k-20k,外企，出国旅游，绩效奖金，六险一金,"移动互联网,消费生活",开发|测试|运维类,"节日礼物,股票期权,带薪年假,绩效奖金",后端开发,北京
