,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
131,北京联龙博通电子商务技术有限公司,联龙博通,2000人以上,D轮及以上,海淀区,Java工程师,5-10年,大专,15k-20k,"五险一金,节日福利,年终奖金,周末双休","移动互联网,电商",开发|测试|运维类,"节日礼物,技能培训,带薪年假,绩效奖金",后端开发,北京
132,上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,JAVA开发工程师,不限,本科,13k-19k,"节日礼金,体检，旅游,五险一金","移动互联网,金融",开发|测试|运维类,,后端开发,上海
133,易联支付有限公司,易联支付,150-500人,未融资,天河区,高级java开发工程师,5-10年,大专,16k-23k,领导好 技能培训 岗位晋升 发展空间大,"移动互联网,金融",开发|测试|运维类,"五险一金,带薪年假,节日礼物,午餐补助",后端开发,广州
134,北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级java开发工程师,5-10年,本科,15k-30k,大数据企业、大数据平台产品、技术牛人,"数据服务,企业服务",开发|测试|运维类,"节日礼物,年底双薪,带薪年假,午餐补助",后端开发,北京
135,成都天府通金融服务股份有限公司,天府通,50-150人,不需要融资,武侯区,Java开发工程师,3-5年,本科,10k-18k,"周末双休,带薪年假","移动互联网,金融",开发|测试|运维类,,后端开发,成都
136,杭州博彦信息技术有限公司,博彦科技,2000人以上,上市公司,越秀区,java开发工程师,3-5年,本科,11k-13k,团队nice，环境好,"移动互联网,电商",开发|测试|运维类,"领导好,技能培训,管理规范,扁平管理",后端开发,广州
137,北京新锐在线科技有限公司,新锐在线,150-500人,未融资,大兴区,Java开发工程师,1-3年,本科,7k-13k,五险一金，补充医疗，综合补助,"移动互联网,企业服务",开发|测试|运维类,"技能培训,带薪年假,绩效奖金,岗位晋升",后端开发,北京
138,北京聚和天成科技有限公司,北京聚和天成科技有限公司,50-150人,不需要融资,海淀区,Java开发工程师,3-5年,本科,15k-30k,"五险一金,科技创新,区块链","移动互联网,金融",开发|测试|运维类,"专项奖金,年终分红,带薪年假,定期体检",后端开发,北京
139,北京百炼智能科技有限公司,百炼智能,15-50人,A轮,朝阳区,java开发工程师,1-3年,本科,15k-25k,带薪年假、扁平管理、五险一金、发展空间大,"数据服务,人工智能",开发|测试|运维类,,后端开发,北京
140,上海钢软信息技术工程股份有限公司,上海钢软,500-2000人,上市公司,宝山区,Java高级开发工程师,5-10年,本科,20k-40k,发展前景可观,"移动互联网,电商",开发|测试|运维类,"专项奖金,带薪年假,绩效奖金,定期体检",后端开发,上海
141,江西高创保安服务技术有限公司,高创保安,50-150人,B轮,江干区,java开发工程师,1-3年,本科,7k-13k,年终奖 生日福利 三节福利 团建 牛人团队,人工智能,开发|测试|运维类,,后端开发,杭州
142,广州雳德信息科技有限公司,雳德,50-150人,未融资,天河区,java工程师,5-10年,本科,15k-22k,加班少，牛人多多，大平台，大项目,"移动互联网,其他",开发|测试|运维类,"五险一金,弹性工作,年度旅游,岗位晋升",后端开发,广州
